config_string,train_loss,train_accuracy,train_error,validation_loss,validation_accuracy,validation_error
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6364703824521888&fully_connected_dropout=0.677596331874774,0.00105342,1,0,2.45281,0.813151041667,0.186848958333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.44426895434774083&fully_connected_dropout=0.36123863058233896,0.218254,0.8515625,0.1484375,1.99232,0.617838541667,0.382161458333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.9626566852994638&fully_connected_dropout=0.1336247403057491,1.00107,0.466796875,0.533203125,1.16221,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.9033562395904191&fully_connected_dropout=0.548959634765363,0.0042262,0.9921875,0.0078125,3.04644,0.815755208333,0.184244791667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6422504575801399&fully_connected_dropout=0.05904394915197486,1.00152,0.466796875,0.533203125,1.16301,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.9312617913193579&fully_connected_dropout=0.34611037159516767,0.203821,0.8359375,0.1640625,2.89337,0.62109375,0.37890625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.07368166226289352&fully_connected_dropout=0.4775313234289461,0.184478,0.841796875,0.158203125,2.70326,0.616536458333,0.383463541667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.7012122846206215&fully_connected_dropout=0.5779428930376863,0.00528427,0.998046875,0.001953125,3.14261,0.80859375,0.19140625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.21249426168996322&fully_connected_dropout=0.3012599864853789,1.00444,0.466796875,0.533203125,1.16677,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.3577159481578487&fully_connected_dropout=0.9596402190651391,4.93033E-05,1,0,1.77664,0.819661458333,0.180338541667
